,index,기준연도,학교종류,설립구분,지역,상태,학교,학생정원,학생모집정지인원,총재학생,정원내재학생,정원외재학생,재학생충원율[총재학생/(학생정원-정지인원)x100],정원내학생충원율[정원내재학생/(학생정원-정지인원)x100]
0,0,2020 년 하반기,대학교,사립,경북,기존,가야대학교(고령) _제2캠퍼스,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2021 년 상반기,대학교,사립,경북,기존,가야대학교(고령) _제2캠퍼스,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,2020 년 하반기,대학교,사립,경남,기존,가야대학교(김해) ,2434.0,0.0,2049.0,1873.0,176.0,84.2,77.0
3,58,2020 년 하반기,대학교,사립,경북,기존,경운대학교 ,4736.0,0.0,4026.0,3805.0,221.0,85.0,80.3
4,60,2020 년 하반기,산업대학,사립,경북,폐교,경운대학교(산업대) ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,61,2021 년 상반기,산업대학,사립,경북,폐교,경운대학교(산업대) ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,62,2020 년 하반기,교육대학,국립,인천,기존,경인교육대학교 ,2392.0,0.0,1262.0,1146.0,116.0,52.8,47.9
7,63,2021 년 상반기,교육대학,국립,인천,기존,경인교육대학교 ,2392.0,0.0,1300.0,1182.0,118.0,54.3,49.4
8,64,2020 년 하반기,교육대학,국립,경기,기존,경인교육대학교 _제2캠퍼스,0.0,0.0,1364.0,1240.0,124.0,0.0,0.0
9,65,2021 년 상반기,교육대학,국립,경기,기존,경인교육대학교 _제2캠퍼스,0.0,0.0,1330.0,1177.0,153.0,0.0,0.0
10,68,2020 년 하반기,대학교,사립,경북,기존,경주대학교 ,3048.0,78.0,850.0,626.0,224.0,28.6,21.1
11,69,2021 년 상반기,대학교,사립,경북,기존,경주대학교 ,3048.0,156.0,750.0,551.0,199.0,25.9,19.1
12,92,2020 년 하반기,대학교,사립,전남,기존,광주가톨릭대학교 ,160.0,0.0,88.0,88.0,0.0,55.0,55.0
13,93,2021 년 상반기,대학교,사립,전남,기존,광주가톨릭대학교 ,160.0,0.0,79.0,79.0,0.0,49.4,49.4
14,94,2020 년 하반기,대학교,특별법법인,광주,기존,광주과학기술원 ,800.0,2.0,656.0,654.0,2.0,82.2,82.0
15,110,2020 년 하반기,사이버대학(대학),사립,충남,기존,글로벌사이버대학교 ,3180.0,0.0,2297.0,2264.0,33.0,72.2,71.2
16,111,2021 년 상반기,사이버대학(대학),사립,충남,기존,글로벌사이버대학교 ,3425.0,0.0,2294.0,2262.0,32.0,67.0,66.0
17,112,2020 년 하반기,대학교,사립,충남,기존,금강대학교 ,510.0,0.0,320.0,310.0,10.0,62.7,60.8
18,113,2021 년 상반기,대학교,사립,충남,기존,금강대학교 ,475.0,0.0,266.0,260.0,6.0,56.0,54.7
19,116,2020 년 하반기,대학교,사립,경북,기존,김천대학교 ,3344.0,1.0,2656.0,2287.0,369.0,79.4,68.4
20,130,2020 년 하반기,대학교,특별법법인,대구,기존,대구경북과학기술원 ,880.0,0.0,701.0,690.0,11.0,79.7,78.4
21,131,2021 년 상반기,대학교,특별법법인,대구,기존,대구경북과학기술원 ,880.0,0.0,700.0,695.0,5.0,79.5,79.0
22,138,2020 년 하반기,대학교,사립,경북,기존,대구예술대학교 ,1753.0,0.0,912.0,898.0,14.0,52.0,51.2
23,139,2021 년 상반기,대학교,사립,경북,기존,대구예술대학교 ,1677.0,0.0,782.0,767.0,15.0,46.6,45.7
24,144,2020 년 하반기,대학교,사립,세종,기존,대전가톨릭대학교 ,160.0,0.0,43.0,43.0,0.0,26.9,26.9
25,145,2021 년 상반기,대학교,사립,세종,기존,대전가톨릭대학교 ,160.0,0.0,33.0,32.0,1.0,20.6,20.0
26,148,2020 년 하반기,대학교,사립,대전,기존,대전신학대학교 ,212.0,0.0,83.0,83.0,0.0,39.2,39.2
27,149,2021 년 상반기,대학교,사립,대전,기존,대전신학대학교 ,184.0,0.0,75.0,74.0,1.0,40.8,40.2
28,168,2020 년 하반기,대학교,사립,경북,기존,동양대학교 ,4144.0,0.0,3547.0,3294.0,253.0,85.6,79.5
29,172,2020 년 하반기,사이버대학(대학),사립,서울,기존,디지털서울문화예술대학교 ,3680.0,0.0,3096.0,2419.0,677.0,84.1,65.7
